QBER,Key_Length,Errors,Attack
0.40404040404040403,495,2,0
1.0040160642570282,498,5,0
0.9784735812133072,511,5,0
1.1363636363636365,528,6,0
1.0729613733905579,466,5,0
1.1406844106463878,526,6,0
2.4574669187145557,529,13,0
1.910828025477707,471,9,0
1.727447216890595,521,9,0
3.483606557377049,488,17,0
2.4489795918367347,490,12,0
1.3618677042801557,514,7,0
3.313840155945419,513,17,0
3.9215686274509802,510,20,0
1.4285714285714286,490,7,0
0.592885375494071,506,3,0
1.8556701030927836,485,9,0
0.9633911368015413,519,5,0
1.6359918200409,489,8,0
1.5151515151515151,528,8,0
3.373015873015873,504,17,0
1.3435700575815739,521,7,0
2.3391812865497075,513,12,0
0.9803921568627451,510,5,0
0.19120458891013384,523,1,0
3.402646502835539,529,18,0
0.998003992015968,501,5,0
2.8513238289205702,491,14,0
2.9684601113172544,539,16,0
0.9746588693957114,513,5,0
0.9940357852882704,503,5,0
0.591715976331361,507,3,0
2.2357723577235773,492,11,0
3.732809430255403,509,19,0
0.5952380952380952,504,3,0
1.953125,512,10,0
1.1695906432748537,513,6,0
3.4552845528455287,492,17,0
2.434077079107505,493,12,0
2.3529411764705883,510,12,0
2.140077821011673,514,11,0
2.152641878669276,511,11,0
2.004008016032064,499,10,0
0.9225092250922509,542,5,0
0.7547169811320755,530,4,0
2.1696252465483234,507,11,0
1.6822429906542056,535,9,0
2.658486707566462,489,13,0
0.5813953488372093,516,3,0
2.294455066921606,523,12,0
0.9823182711198428,509,5,0
2.0080321285140563,498,10,0
2.3255813953488373,516,12,0
1.5238095238095237,525,8,0
0.7874015748031495,508,4,0
1.3888888888888888,504,7,0
1.3618677042801557,514,7,0
3.549060542797495,479,17,0
0.1855287569573284,539,1,0
0.9416195856873822,531,5,0
1.7786561264822136,506,9,0
4.216867469879518,498,21,0
0.5813953488372093,516,3,0
2.941176470588235,510,15,0
2.2813688212927756,526,12,0
2.357563850687623,509,12,0
0.9727626459143969,514,5,0
1.550387596899225,516,8,0
1.0204081632653061,490,5,0
1.5533980582524272,515,8,0
2.307692307692308,520,12,0
1.9646365422396856,509,10,0
0.9784735812133072,511,5,0
1.3972055888223553,501,7,0
0.7575757575757576,528,4,0
1.1385199240986716,527,6,0
1.5968063872255487,501,8,0
3.024193548387097,496,15,0
1.8442622950819672,488,9,0
0.5847953216374269,513,3,0
0.20161290322580644,496,1,0
1.402805611222445,499,7,0
3.474903474903475,518,18,0
1.3461538461538463,520,7,0
1.394422310756972,502,7,0
2.549019607843137,510,13,0
0.5836575875486382,514,3,0
2.904564315352697,482,14,0
0.9416195856873822,531,5,0
2.9182879377431905,514,15,0
1.3592233009708738,515,7,0
1.574803149606299,508,8,0
2.2587268993839835,487,11,0
1.9011406844106464,526,10,0
2.404809619238477,499,12,0
0.7532956685499058,531,4,0
2.127659574468085,517,11,0
3.1620553359683794,506,16,0
0.8213552361396305,487,4,0
0.9746588693957114,513,5,0
2.9880478087649402,502,15,0
1.556420233463035,514,8,0
1.153846153846154,520,6,0
1.782178217821782,505,9,0
1.002004008016032,499,5,0
0.984251968503937,508,5,0
2.9069767441860463,516,15,0
